ref,Title,Publication date,Authors,Publisher EN,Publisher FR,Publisher SP,Country EN,Country FR,Country SP,Language of the document,File Name
34,"Aid-for-Trade Case Story - China - ""Small Farmers Adapting to Global Markers"" Project",2011,Lei Zhang and Meiju Wu,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO) ,Organisation de Coopération et de Développement �conomiques (OCDE); Organisation Mondiale du Commerce (OMC) ,Organización para la Cooperación y el Desarrollo Económico (OCDE); Organización Mundial del Comercio (OMC) ,China,Chine,China,EN,AID-FOR-TRADE CASE STORY - China - China-Canada _Small Farmers Adapting to Global Markers_ Project.pdf
35,Aid-for-Trade Case Story - Chinese Taipei - Oriental Vegetable Project in the Republic of Honduras,2011,Chinese Taipei,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO) ,Organisation de Coopération et de Développement �conomiques (OCDE); Organisation Mondiale du Commerce (OMC) ,Organización para la Cooperación y el Desarrollo Económico (OCDE); Organización Mundial del Comercio (OMC) ,Honduras,Honduras,Honduras,EN,AID?FOR?TRADE CASE STORY - Chinese Taipei - Oriental Vegetable Project in the Republic of Honduras.pdf
36,Aid-for-Trade Case Story - Chinese Taipei - Petén Papaya Export Project in the Republic of Guatemala,2011,Chinese Taipei,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO) ,Organisation de Coopération et de Développement �conomiques (OCDE); Organisation Mondiale du Commerce (OMC) ,Organización para la Cooperación y el Desarrollo Económico (OCDE); Organización Mundial del Comercio (OMC) ,Guatemala,Guatemala,Guatemala,EN,AID?FOR?TRADE CASE STORY - Chinese Taipei - Petén Papaya Export Project in the Republic of Guatemala.pdf
37,Aid-for-Trade Case Story - Indonesia - Trade Support Programme,2011,The Government of the Republic of Indonesia,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO) ,Organisation de Coopération et de Développement �conomiques (OCDE); Organisation Mondiale du Commerce (OMC) ,Organización para la Cooperación y el Desarrollo Económico (OCDE); Organización Mundial del Comercio (OMC) ,Indonesia,Indonésie,Indonesia,EN,AID?FOR?TRADE CASE STORY - Indonesia - Trade Support Programme.pdf
38,Aid-for-Trade Case Story - Lao Peoples' Democratic Republic,2011,Ministry of Industry and Commerce (MoIC) of Lao PDR,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO) ,Organisation de Coopération et de Développement �conomiques (OCDE); Organisation Mondiale du Commerce (OMC) ,Organización para la Cooperación y el Desarrollo Económico (OCDE); Organización Mundial del Comercio (OMC) ,Lao People's Democratic Republic,République démocratique populaire lao,Republica Democr�tica Popular Lao,EN,AID?FOR?TRADE CASE STORY - Lao Peoples' Democratic Republic.pdf
39,Aid-for-Trade Case Story - Pakistan - Community Empowerment through Livestock Development and Credit Project (CELDAC) Small is beautiful,2011,Shakeel Ahmad; Aisha Humera Moriani,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO) ,Organisation de Coopération et de Développement �conomiques (OCDE); Organisation Mondiale du Commerce (OMC) ,Organización para la Cooperación y el Desarrollo Económico (OCDE); Organización Mundial del Comercio (OMC) ,Pakistan,Pakistan,Pakist�n,EN,AID?FOR?TRADE CASE STORY - Pakistan - CELDAC Small is beautiful.pdf
40,"Aid-for-Trade Case Story - Sierra Leone - Programme Support to Cash Crop Cocoa and Coffee Production in the Districts of Kenema, Kono and Kailhun in Sierra Leone",2011,Albert Coker; Ishmail Kaetou?Yillah,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO) ,Organisation de Coopération et de Développement �conomiques (OCDE); Organisation Mondiale du Commerce (OMC) ,Organización para la Cooperación y el Desarrollo Económico (OCDE); Organización Mundial del Comercio (OMC) ,Sierra Leone,Sierra Leone,Sierra Leona,EN,AID?FOR?TRADE CASE STORY - Sierra Leone - Programme Support to Cash Crop Cocoa and Coffee Production in  Sierra Leone.pdf
41,Aid-for-Trade Case Story - Solomon Islands - Solomon Islands Cocoa Livelihood Rehabilitation Project (CLIP),2011,Solomon Islands,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO) ,Organisation de Coopération et de Développement �conomiques (OCDE); Organisation Mondiale du Commerce (OMC) ,Organización para la Cooperación y el Desarrollo Económico (OCDE); Organización Mundial del Comercio (OMC) ,Solomon Islands,Iles Salomon,Islas Salomón,EN,AID?FOR?TRADE CASE STORY - Solomon Islands - Solomon Islands Cocoa Livelihood Rehabilitation Project (CLIP).pdf
42,Aid-for-Trade Case Story - The Implementation of the West African Quality Programme in the Gambia 2007-2010,2011,The Government of The Gambia,Government of The Gambia,Government of The Gambia,Government of The Gambia,Gambia,Gambie,Gambia,EN,AID-FOR-TRADE CASE STORY - The Implementation of the West African Quality Programme in the Gambia 2007-2010.doc
43,Aid-for-Trade Case Story - Tonga - Tonga: A Tale of TA,2011,Jodie McAlister,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO) ,Organisation de Coopération et de Développement �conomiques (OCDE); Organisation Mondiale du Commerce (OMC) ,Organización para la Cooperación y el Desarrollo Económico (OCDE); Organización Mundial del Comercio (OMC) ,Tonga,Tonga,Tonga,EN,AID?FOR?TRADE CASE STORY - Tonga - Tonga - A Tale of TA.pdf
44,An Assessment of Alternative Mechanisms for Leveraging Private Sector Involvement in Poorly Functioning Value Chains,2009,Colin Poulton,Food and Agriculture Organization of the United Nations (FAO); European Union,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO); Union européenne,Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO); Unión Europea,,,,EN,An Assessment of Alternative Mechanisms for Leveraging Private Sector Involvement in Poorly Functioning Value Chains.pdf
45,Analysis and Impact of Sanitary and Phytosanitary Measures,2003,Leonardo Iacovone,Center for International Development (CID) at Harvard University ,Center for International Development (CID) at Harvard University ,Center for International Development (CID) at Harvard University ,,,,EN,Analysis and Impact of Sanitary and Phytosanitary Measures.pdf
46,Application of the MCDA in Zambia,2011,Doreen M. Chomba,Government of Zambia,Government of Zambia,Government of Zambia,Zambia,Zambie,Zambia,EN,Application of the MCDA in Zambia.pdf
47,Applying economic analysis to food safety interventions - An overview,2011,Spencer Henson,University of Guelph; University of Sussex,University of Guelph; University of Sussex,University of Guelph; University of Sussex,,,,EN,Applying economic analysis to food safety interventions - An overview.pdf
48,"Approaches to Assessing the Costs, Benefits and Impacts of Standards",2008,Spencer Henson,University of Guelph; University of Sussex,University of Guelph; University of Sussex,University of Guelph; University of Sussex,,,,EN,"Approaches to Assessing the Costs, Benefits and Impacts of Standards.pdf"
49,Area-Wide Integrated Pest Management Programmes and Agricultural Trade: Challenges and Opportunities for Regulatory Plant Protection,2007,C. Devorshak,United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),,,,EN,Area-Wide Integrated Pest Management Programmes and Agricultural Trade Challenges and Opportunities.pdf
50,Armenia - Managing food safety and agricultural health: An action plan,2007,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Armenia,Arménie,Armenia,EN,WB_ArmeniaSPSActionPlan_Mar-07.pdf
51,Assessment of the Status of the Implementation of the SPS Annex to the SADC Protocol on Trade,2010,Dermot Cassidy,United States Agency for International Development (USAID),United States Agency for International Development (USAID),United States Agency for International Development (USAID),,,,EN,Assessment of the Implementation of the SADC SPS Annex to the SADC Protocol on Trade.pdf
52,Assuring Food Safety and Quality - Guidelines for strengthening  national food control systems,2003,Food and Agriculture Organisation (FAO); World Health Organization (WHO),Food and Agriculture Organization of the United Nations (FAO); World Health Organization (WHO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO); Organisation mondiale de la Santé (WHO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO); Organización mundial de la salud (WHO),,,,EN,Assuring Food Safety and Quality - Guidelines for strengthening  national food control systems.pdf
53,Assuring Food Security in Developing Countries under the Challenges of Climate Change - Key Trade and Development Issues of a Fundamental Transformation of Agriculture,2011,Ulrich Hoffmann,United Nations Conference on Trade and Development (UNCTAD),Conférence des Nations Unies sur le commerce et le développement (UNCTAD),Conferencia de las Naciones Unidas sobre Comercio y Desarrollo (UNCTAD),,,,EN,Assuring Food Security in Developing Countries under the Challenges of Climate Change -.pdf
54,"Atelier Régional de validation de ""l'Etude de Dimensionnement des Dommages Infligés � la Production Fruitière d'Afrique de l'Ouest par les Mouches des Fruits et Plan d'Action pour une Réponse Coordonnée au Niveau Regional""",2008,Economic Community Of West African States (ECOWAS),Economic Community Of West African States (ECOWAS),Communauté Economique Des Etats de l'Afrique de l'Ouest  (CEDEAO),Economic Community Of West African States (ECOWAS),,,,FR,Atelier Régional de validation de l'Etude de Dimensionnement des Dommages Infligés.pdf
55,Audit Procedures for Notification Of Sanitary And Phytosanitary Measures (IICA),2010,Juan Maximiliano Moreno,Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,EN,Audit Procedures for Notification Of Sanitary And Phytosanitary Measures (IICA).pdf
56,AU-IBAR SPS-related activities,2011,Simplice Nouala,African Union,African Union,African Union,,,,EN,AU-IBAR SPS-related activities.pdf
57,AU-IBAR Strategic Plan 2010-2014,2009,African Union Interafrican Bureau for Animal Resources (AU-IBAR),African Union,African Union,African Union,,,,EN,African Union Interafrican Bureau for Animal Resources - Strategic Plan 2010-2014.pdf
58,Avocado Pests and Avocado Trade,2007,Everett B. Peterson; David Orden,American Journal of Agricultural Economics,American Journal of Agricultural Economics,American Journal of Agricultural Economics,United States; Mexico,Etats-Unis; Mexique,Estados Unidos; México,EN,Avocado Pests and Avocado Trade.pdf
59,"Barrier, Catalyst, or Distraction? Standards, Competitiveness, and Africa's Groundnut Exports to Europe",2008,Luz Diaz Rios; Steven Jaffee,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,"Barrier, Catalyst, or Distraction - Standards, Competitiveness, and Africa's Groundnut Exports to Europe.pdf"
60,"Barrier, Catalyst, or Distraction? Standards, Competitiveness, and Africa's Groundnut Exports to Europe",2008,Luz Diaz Rios; Steven Jaffee,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,"Barrier, Catalyst, or Distraction.pdf"
61,Barriers to ASEAN meat exports - economic impacts of disease outbreaks and policy responses,2007,Neil Andrews; Sally Thorpe; Suthida Warr,Australian Bureau of Agricultural and Resource Economics (ABARE),Australian Bureau of Agricultural and Resource Economics (ABARE),Australian Bureau of Agricultural and Resource Economics (ABARE),,,,EN,Barriers to ASEAN meat exports - economic impacts of disease outbreaks and policy responses.pdf
62,Benefit-cost analysis of options for managing Queensland fruit fly in Victoria,2010,Bill Fisher; Arthur Ha; Sallyann Harvey; Kristoffer Larson; Bill Malcolm,Australian Department of Primary Industries (Victoria),Australian Department of Primary Industries (Victoria),Australian Department of Primary Industries (Victoria),Australia,Australie,Australia,EN,AUS_BenefitAndCosts_ManagingFruitFlyVictoria.pdf
63,Best Practices in Sanitary and Phytosanitary Training,2011,Food Chain Evaluation Consortium (FCEC),European Union,Union européenne,Unión Europea,,,,EN,Best training practices in Sanitary and Phytosanitary Training.pdf
64,Better Training for Safer Food - Annual Report 2006,2006,European Commission,European Union,Union européenne,Unión Europea,,,,EN,Better Training for Safer Food - Annual Report 2006.pdf
65,Better Training for Safer Food - Annual Report 2007,2007,European Commission,European Union,Union européenne,Unión Europea,,,,EN,Better Training for Safer Food - Annual Report 2007.pdf
66,Better Training for Safer Food - Annual Report 2008,2008,European Commission,European Union,Union européenne,Unión Europea,,,,EN,Better Training for Safer Food - Annual Report 2008.pdf
67,Better Training for Safer Food - Annual Report 2009,2009,European Commission,European Union,Union européenne,Unión Europea,,,,EN,Better Training for Safer Food - Annual Report 2009.pdf
68,Better Training for Safer Food - Annual Report 2010,2010,European Commission,European Union,Union européenne,Unión Europea,,,,EN,Better Training for Safer Food - Annual Report 2010.pdf
69,Building Competitiveness in Africa's Agriculture: A Guide to Value Chain Concepts and Applications,2010,C. Martin Webber; Patrick Labaste,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,Building Competitiveness in Africa's Agriculture - A guide to value chain concepts and applications.pdf
70,Canadian communities' guidebook for adaptation to climate change,2008,Livia Bizikova; Tina Neale; Ian Burton,Environment Canada,Environment Canada,Environment Canada,Canada,Canada,Canad�,EN,Canadian communities' guidebook for adaptation to climate change.pdf
71,Capacity building for aflatoxin management and control in groundnuts in Malawi,2008,United Nations Industrial Development Organization (UNIDO),United Nations Industrial Development Organization (UNIDO),Organisation des Nations Unies pour le développement industriel (ONUDI),Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI),Malawi,Malawi,Malawi,EN,Capacity building for aflatoxin management and control in groundnuts in Malawi.pdf
72,Capacity building in Food Quality and Safety - Evaluating the improvement of national food control systems in the developing world,2007,Hilbert van der Werf,Wageningen University,Wageningen University,Wageningen University,,,,EN,Capacity building in Food Quality and Safety.pdf
73,Capacity-Building to Meet International Standards as Public Goods,2006,P. Holmes; L. Iacovone; R. Kamondetdacha; L. Newson,United Nations Industrial Development Organization (UNIDO),Organisation des Nations Unies pour le développement industriel (ONUDI),Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI),,,,EN,Capacity-Building to Meet International Standards as Public Goods.pdf
74,Capacity-building Tools and Activities of the OIE,2009,Sarah Kahn,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE),Organización mundial de sanidad animal (OIE),,,,EN,Capacity-building Tools and Activities of the OIE.pdf
75,"Case Studies of Costs and Benefits of Non-Tariff Measures - Cheese, Shrimp and Flowers",2010,Frank van Tongeren; Anne-Célia Disdier; Joanna Komorowska; Stéphane Marette; Martin von Lampe,Organisation for Economic Co-operation and Development (OECD),Organisation de Coopération et de Développement �conomiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),,,,EN,"Case Studies of Costs and Benefits of Non-Tariff Measures - Cheese, Shrimp and Flowers.pdf"
76,"Case Studies of Costs and Benefits of Non-Tariff Measures: Cheese, Shrimp and Flowers",2010,Stéphan Marette; Anne-Célia Disdier; Joanna Komorowska;  Frank van Tongeren; Martin von Lampe,Organisation for Economic Co-operation and Development (OECD),Organisation de Coopération et de Développement �conomiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),,,,EN,"Case Studies of Costs and Benefits of Non-Tariff Measures Cheese, Shrimp and Flowers.pdf"
77,Case Study: PS Issues and Regional Trade in Horticultural Products in the SADC Region,2010,Dermot Cassidy,United States Agency for International Development (USAID),United States Agency for International Development (USAID),United States Agency for International Development (USAID),,,,EN,Case Study - SPS Issues in Horticultural Products in the SADC Region.pdf
78,Case Study: SPS Issues and Regional Trade in Livestock and Livestock Products in the SADC Region,2010,Dermot Cassidy,United States Agency for International Development (USAID),United States Agency for International Development (USAID),United States Agency for International Development (USAID),,,,EN,Case Study - SPS Issues and Regional Trade in Livestock and Livestock Products in the SADC Region.pdf
79,Challenges of animal health information systems and surveillance for animal diseases and zoonoses,2011,Food and Agriculture Organization of the United Nations (FAO),Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,FAO_AnimalHealth.pdf
80,Changing European Public and Private Food Safety and Quality Requirements - Challenges for Developing Country Fresh Produce and Fish Exporters,2005,Sabine Willems; Eva Roth; Jan van Roekel,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,Changing European Public and Private Food Safety and Quality Requirements.pdf
81,Climate Change and Africa,2007,Africa Partnership Forum and NEPAD Secretariat,Africa Partnership Forum (APF),Forum pour le partenariat avec l'Afrique (FPA),Africa Partnership Forum (APF),,,,EN,Climate Change and Africa.pdf
82,Climate Change and Agriculture - A Review of Impact and Adaptations,2003,Pradeep Kurukulasuriya; Shane Rosenthal,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,Climate Change and Agriculture.pdf
83,Climate change and health - Report by the Secretariat,2008,World Health Organization (WHO),World Health Organization (WHO),Organisation mondiale de la Santé (OMS),Organización Mundial de la Salud (OMS),,,,EN,Climate change and health.pdf
84,Climate Change Effects on Plant Disease: Genomes to Ecosystems,2006,K. A. Garrett; S. P. Dendy; E. E. Frank; M. N. Rouse; S. E. Travers,Annual Review of Phytopathology,Annual Review of Phytopathology,Annual Review of Phytopathology,,,,EN,Climate Change Effects on Plant Disease Genomes to Ecosystems.pdf
85,Climate change impacts on pest animals and weeds,2008,"Australian Department of Agriculture, Fisheries and Forestry","Australian Department of Agriculture, Fisheries and Forestry","Australian Department of Agriculture, Fisheries and Forestry","Australian Department of Agriculture, Fisheries and Forestry",Australia,Australie,Australia,EN,Climate change impacts on pest animals and weeds.pdf
86,"Climate change, agricultural policy and poverty reduction - how much do we know?",2007,"Rachel Slater; Leo Peskett, Eva Ludi; David Brown",Overseas Development Institute (ODI),Overseas Development Institute (ODI),Overseas Development Institute (ODI),,,,EN,"Climate change, agricultural policy and poverty reduction - how much do we know.pdf"
87,Climate change: Implications for food safety,2008,Lee-Ann Jaykus; Marion Woolridge; J. Michael Frank; Marina Miraglia; Abigail McQuatters-Gollop; Cristina Tirado; Renata Clarke; Mary Friel,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,Climate change - Implications for food safety.pdf
88,Clover Root Weevil: Economic Impact Assessment,2005,Simon Wear; Grant Andrews,New Zealand Institute of Economic Research (NZIER),New Zealand Institute of Economic Research (NZIER),New Zealand Institute of Economic Research (NZIER),New Zealand,Nouvelle-Zélande,Nueva Zelandia,EN,Clover Root Weevil - Economic impact assessment Report.pdf
89,Codex Trust Fund Mid-Term Review,2010,Kim Forss; Jens Andersson; Eve Kasirye-Alemu,Codex Alimentarius,Codex Alimentarius,Codex Alimentarius,,,,EN,Codex Trust Fund Mid-Term Review - Final Report 30th of April 2010.docx
