Ref,Title (EN),Publication date,Authors,Publisher (EN),Keywords (EN),Country:CountryNameEN,Country:CountryNameES,Country:CountryNameFR,Language of the document,FileName,Publisher (FR),Publisher (SP),Title (FR),Title (SP),Type of the document (EN),Type of the document (FR),Type of the document (SP)
11,A Pest Under Control (IDB Video),2010,Inter-American Development Bank (IDB - TV),Inter-American Development Bank (IDB),Plant Health,Peru,Perú,Pérou,EN,A Pest Under Control (IDB Video).aspx,Banque interaméricaine de développement (BID),Banco Interamericano de Desarrollo (BID),A Pest Under Control (IDB Video),A Pest Under Control (IDB Video),,,
12,A Pro-Poor Analysis of the Shrimp Sector in Bangladesh,2006,Greater Access to Trade Expansion (GATE) Project,United States Agency for International Development (USAID),Food Safety,Bangladesh,Bangladesh,Bangladesh,EN,A Pro-Poor Analysis of the Shrimp Sector in Bangladesh.pdf,United States Agency for International Development (USAID),United States Agency for International Development (USAID),A Pro-Poor Analysis of the Shrimp Sector in Bangladesh,A Pro-Poor Analysis of the Shrimp Sector in Bangladesh,Paper,Papier,Papel
13,"A review and impact assessment of ACIAR’s fruit-fly research partnerships, 1984–2007",2008,Bob Lindner; Paul McLeod,Australian Centre for International Agricultural Research (ACIAR),Plant Health,,,,EN,A review and impact assessment of ACIAR’s fruit-fly research partnerships.pdf,Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research (ACIAR),"A review and impact assessment of ACIAR’s fruit-fly research partnerships, 1984–2007","A review and impact assessment of ACIAR’s fruit-fly research partnerships, 1984–2007",,,
14,A Second Look at the Pesticides Initiative Program: Evidence from Senegal,2011,Melise Jaud; Olivier Cadot,The World Bank,SPS-General,Senegal,Senegal,Sénégal,EN,A Second Look at PIP Evidence from Senegal WPS5635.pdf,The World Bank,The World Bank,A Second Look at the Pesticides Initiative Program: Evidence from Senegal,A Second Look at the Pesticides Initiative Program: Evidence from Senegal,Paper,Papier,Papel
15,A socio-economic evaluation of the Regional Fruit Fly Projects,2000,Andrew McGregor,Secretariat of the Pacific Community,Plant Health,,,,EN,A socio-economic evaluation of the Regional Fruit Fly Projects.pdf,Secretariat of the Pacific Community,Secretariat of the Pacific Community,A socio-economic evaluation of the Regional Fruit Fly Projects,A socio-economic evaluation of the Regional Fruit Fly Projects,Other,Autres,Otro
16,A Strategic Framework for the ComMark Trust's RSP Programme on Phytosanitary Issues,2010,Ralf Lopian; Myllylän Mylly Oy,Southern African Development Community (SADC),SPS-General,,,,EN,A Strategic Framework for the ComMark Trust’s RSP Programme on Phytosanitary Issues.doc,Southern African Development Community (SADC),Southern African Development Community (SADC),A Strategic Framework for the ComMark Trust's RSP Programme on Phytosanitary Issues,A Strategic Framework for the ComMark Trust's RSP Programme on Phytosanitary Issues,Other,Autres,Otro
17,A Toolkit for the Economic Analysis of Invasive Species,2008,L. Emerton; G. Howard,The Global Invasive Species Programme (GISP),SPS-General,,,,EN,A Toolkit for the Economic Analysis of Invasive Species.pdf,The Global Invasive Species Programme (GISP),The Global Invasive Species Programme (GISP),A Toolkit for the Economic Analysis of Invasive Species,A Toolkit for the Economic Analysis of Invasive Species,Report,Rapport,Reporte
18,Standards and Agricultural Trade in Asia,2008,Daniele Giovannucci; Timothy Purcell,Asian Development Bank Institute (ADB Institute),SPS-General,,,,EN,ADBI_Standards_and_Agricultural_Trade_in_Asia.pdf,Asian Development Bank Institute (ADB Institute),Asian Development Bank Institute (ADB Institute),Standards and Agricultural Trade in Asia,Standards and Agricultural Trade in Asia,Paper,Papier,Papel
19,Addressing Climate Change and Providing New Opportunities for Farmers,2000,Mark Muller; Catherine Hofman; Paul Hodges,Institute for Agriculture and Trade Policy,,,,,EN,Addressing Climate Change and Providing New Opportunities for Farmers Mark.pdf,Institute for Agriculture and Trade Policy,Institute for Agriculture and Trade Policy,Addressing Climate Change and Providing New Opportunities for Farmers,Addressing Climate Change and Providing New Opportunities for Farmers,Report,Rapport,Reporte
20,Addressing Trade Restrictive Non-Tariff Measures on Goods Trade in the East African Community,2010,Robert Kirk,The World Bank,SPS-General,,,,EN,Addressing Trade Restrictive NTM on Goods Trade in the EAC.pdf,The World Bank,The World Bank,Addressing Trade Restrictive Non-Tariff Measures on Goods Trade in the East African Community,Addressing Trade Restrictive Non-Tariff Measures on Goods Trade in the East African Community,Other,Autres,Otro
21,Aflandia Country Case Study,2011,Spenser Henson,University of Guelph,SPS-General,,,,EN,Aflandia Country Case Study.pdf,University of Guelph,University of Guelph,Aflandia Country Case Study,Aflandia Country Case Study,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
22,African Capacity Building for Meat Exports: Lessons from the Namibian and Botswanan Beef Industries,2008,R. Cabrera; M. Cochran; L. Dangelmayr; G. D'Aguilar; K. Gawande; J. Lee; I. Speir; C. Weigand,Texas A&M University,Animal Health,Botswana,Botswana,Botswana,EN,African Capacity Building for Meat Exports.pdf,Texas A&M University,Texas A&M University,African Capacity Building for Meat Exports: Lessons from the Namibian and Botswanan Beef Industries,African Capacity Building for Meat Exports: Lessons from the Namibian and Botswanan Beef Industries,Other,Autres,Otro
23,AU-IBAR Strategic Plan 2010-2014,2009,African Union Interafrican Bureau for Animal Resources (AU-IBAR),African Union,Animal Health,,,,EN,African Union Interafrican Bureau for Animal Resources - Strategic Plan 2010-2014.pdf,African Union,African Union,AU-IBAR Strategic Plan 2010-2014,AU-IBAR Strategic Plan 2010-2014,Report,Rapport,Reporte
24,AGOA Countries: Challenges and Considerations in Exporting Horticultural Products to the United States,2010,"Richard Pasco, McLeod, Watkinson & Miller",International Food and Agricultural Trade Policy Council (IPC),SPS-General,,,,EN,AGOA Countries - Challenges and Considerations in Exporting Horticultural Products to the United States.pdf,International Food and Agricultural Trade Policy Council (IPC),International Food and Agricultural Trade Policy Council (IPC),AGOA Countries: Challenges and Considerations in Exporting Horticultural Products to the United States,AGOA Countries: Challenges and Considerations in Exporting Horticultural Products to the United States,Paper,Papier,Papel
25,"Agricultural Intensification in Mozambique - Infrastructure, Policy and Institutional Framework",2006,Peter E.  Coughlin,"EconPolicy Research Group, Ltd - Mozambique",Food Safety,Mozambique,Mozambique,Mozambique,EN,"Agricultural Intensification in Mozambique - Infrastructure, Policy and Institutional Framework.pdf","EconPolicy Research Group, Ltd - Mozambique","EconPolicy Research Group, Ltd - Mozambique","Agricultural Intensification in Mozambique - Infrastructure, Policy and Institutional Framework","Agricultural Intensification in Mozambique - Infrastructure, Policy and Institutional Framework",Paper,Papier,Papel
26,Agrifood Standards and Trade - SPS Toolkit and CBT Study,2010,Natural Resources Institute (NRI),Natural Resources Institute (NRI),SPS-General,,,,EN,Agrifood Standards and Trade SPS Toolkit and CBT Study.pdf,Natural Resources Institute (NRI),Natural Resources Institute (NRI),Agrifood Standards and Trade - SPS Toolkit and CBT Study,Agrifood Standards and Trade - SPS Toolkit and CBT Study,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
27,Aid for Trade at a Glance 2009 - Maintaining Momentum,2009,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO),Organisation for Economic Co-operation and Development (OECD),SPS-General,,,,EN,Aid for Trade at a Glance 2009 - Maintaining Momentum.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),Aid for Trade at a Glance 2009 - Maintaining Momentum,Aid for Trade at a Glance 2009 - Maintaining Momentum,Paper,Papier,Papel
28,Aid for Trade Facilitation,2009,Matthias Helble; Catherine Mann; John S. Wilson,The World Bank,SPS-General,,,,EN,Aid for Trade Facilitation.pdf,The World Bank,The World Bank,Aid for Trade Facilitation,Aid for Trade Facilitation,Paper,Papier,Papel
29,"Aid-for-Trade Case Story - China - ""Small Farmers Adapting to Global Markers"" Project",2011,Lei Zhang and Meiju Wu,Organisation for Economic Co-operation and Development (OECD),SPS-General,China,China,Chine,EN,AID-FOR-TRADE CASE STORY - China - China-Canada “Small Farmers Adapting to Global Markers” Project.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),"Aid-for-Trade Case Story - China - ""Small Farmers Adapting to Global Markers"" Project","Aid-for-Trade Case Story - China - ""Small Farmers Adapting to Global Markers"" Project",Paper,Papier,Papel
30,Aid-for-Trade Case Story - Chinese Taipei - Oriental Vegetable Project in the Republic of Honduras,2011,Chinese Taipei,Organisation for Economic Co-operation and Development (OECD),SPS-General,Honduras,Honduras,Honduras,EN,AID?FOR?TRADE CASE STORY - Chinese Taipei - Oriental Vegetable Project in the Republic of Honduras.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),Aid-for-Trade Case Story - Chinese Taipei - Oriental Vegetable Project in the Republic of Honduras,Aid-for-Trade Case Story - Chinese Taipei - Oriental Vegetable Project in the Republic of Honduras,Other,Autres,Otro
31,Aid-for-Trade Case Story - Chinese Taipei - Petén Papaya Export Project in the Republic of Guatemala,2011,Chinese Taipei,Organisation for Economic Co-operation and Development (OECD),SPS-General,Guatemala,Guatemala,Guatemala,EN,AID?FOR?TRADE CASE STORY - Chinese Taipei - Petén Papaya Export Project in the Republic of Guatemala.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),Aid-for-Trade Case Story - Chinese Taipei - Petén Papaya Export Project in the Republic of Guatemala,Aid-for-Trade Case Story - Chinese Taipei - Petén Papaya Export Project in the Republic of Guatemala,Other,Autres,Otro
32,Aid-for-Trade Case Story - Indonesia - Trade Support Programme,2011,The Government of the Republic of Indonesia,Organisation for Economic Co-operation and Development (OECD),SPS-General,Indonesia,Indonesia,Indonésie,EN,AID?FOR?TRADE CASE STORY - Indonesia - Trade Support Programme.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),Aid-for-Trade Case Story - Indonesia - Trade Support Programme,Aid-for-Trade Case Story - Indonesia - Trade Support Programme,Paper,Papier,Papel
33,Aid-for-Trade Case Story - Lao Peoples' Democratic Republic,2011,Ministry of Industry and Commerce (MoIC) of Lao PDR,Organisation for Economic Co-operation and Development (OECD),SPS-General,Lao People's Democratic Republic,Republica Democrática Popular Lao,République démocratique populaire lao,EN,AID?FOR?TRADE CASE STORY - Lao Peoples’ Democratic Republic.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),Aid-for-Trade Case Story - Lao Peoples' Democratic Republic,Aid-for-Trade Case Story - Lao Peoples' Democratic Republic,Paper,Papier,Papel
34,Aid-for-Trade Case Story - Pakistan - Community Empowerment through Livestock Development and Credit Project (CELDAC) Small is beautiful,2011,Shakeel Ahmad; Aisha Humera Moriani,Organisation for Economic Co-operation and Development (OECD),SPS-General,Pakistan,Pakistán,Pakistan,EN,AID?FOR?TRADE CASE STORY - Pakistan - CELDAC Small is beautiful.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),Aid-for-Trade Case Story - Pakistan - Community Empowerment through Livestock Development and Credit Project (CELDAC) Small is beautiful,Aid-for-Trade Case Story - Pakistan - Community Empowerment through Livestock Development and Credit Project (CELDAC) Small is beautiful,Other,Autres,Otro
35,"Aid-for-Trade Case Story - Sierra Leone - Programme Support to Cash Crop Cocoa and Coffee Production in the Districts of Kenema, Kono and Kailhun in Sierra Leone",2011,Albert Coker; Mr. Ishmail Kaetou?Yillah,Organisation for Economic Co-operation and Development (OECD),SPS-General,Sierra Leone,Sierra Leona,Sierra Leone,EN,AID?FOR?TRADE CASE STORY - Sierra Leone - Programme Support to Cash Crop Cocoa and Coffee Production in  Sierra Leone.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),"Aid-for-Trade Case Story - Sierra Leone - Programme Support to Cash Crop Cocoa and Coffee Production in the Districts of Kenema, Kono and Kailhun in Sierra Leone","Aid-for-Trade Case Story - Sierra Leone - Programme Support to Cash Crop Cocoa and Coffee Production in the Districts of Kenema, Kono and Kailhun in Sierra Leone",Paper,Papier,Papel
36,Aid-for-Trade Case Story - Solomon Islands - Solomon Islands Cocoa Livelihood Rehabilitation Project (CLIP),2011,Solomon Islands,Organisation for Economic Co-operation and Development (OECD),SPS-General,Solomon Islands,Islas Salomón,Iles Salomon,EN,AID?FOR?TRADE CASE STORY - Solomon Islands - Solomon Islands Cocoa Livelihood Rehabilitation Project (CLIP).pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),Aid-for-Trade Case Story - Solomon Islands - Solomon Islands Cocoa Livelihood Rehabilitation Project (CLIP),Aid-for-Trade Case Story - Solomon Islands - Solomon Islands Cocoa Livelihood Rehabilitation Project (CLIP),Other,Autres,Otro
37,Aid-for-Trade Case Story - The Implementation of the West African Quality Programme in the Gambia 2007-2010,2011,The Government of The Gambia,Government of The Gambia,SPS-General,Gambia,Gambia,Gambie,EN,AID-FOR-TRADE CASE STORY - The Implementation of the West African Quality Programme in the Gambia 2007-2010.doc,Government of The Gambia,Government of The Gambia,Aid-for-Trade Case Story - The Implementation of the West African Quality Programme in the Gambia 2007-2010,Aid-for-Trade Case Story - The Implementation of the West African Quality Programme in the Gambia 2007-2010,Paper,Papier,Papel
38,Aid-for-Trade Case Story - Tonga - Tonga: A Tale of TA,2011,Jodie McAlister,Organisation for Economic Co-operation and Development (OECD),SPS-General,Tonga,Tonga,Tonga,EN,AID?FOR?TRADE CASE STORY - Tonga - Tonga - A Tale of TA.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),Aid-for-Trade Case Story - Tonga - Tonga: A Tale of TA,Aid-for-Trade Case Story - Tonga - Tonga: A Tale of TA,Other,Autres,Otro
39,An Assessment of Alternative Mechanisms for Leveraging Private Sector Involvement in Poorly Functioning Value Chains,2009,Colin Poulton,Food and Agriculture Organization (FAO),Food Safety,,,,EN,An Assessment of Alternative Mechanisms for Leveraging Private Sector Involvement in Poorly Functioning Value Chains.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),An Assessment of Alternative Mechanisms for Leveraging Private Sector Involvement in Poorly Functioning Value Chains,An Assessment of Alternative Mechanisms for Leveraging Private Sector Involvement in Poorly Functioning Value Chains,Paper,Papier,Papel
40,Analysis and Impact of Sanitary and Phytosanitary Measures,2003,Leonardo Iacovone,Center for International Development (CID) at Harvard University ,SPS-General,,,,EN,Analysis and Impact of Sanitary and Phytosanitary Measures.pdf,Center for International Development (CID) at Harvard University ,Center for International Development (CID) at Harvard University ,Analysis and Impact of Sanitary and Phytosanitary Measures,Analysis and Impact of Sanitary and Phytosanitary Measures,Paper,Papier,Papel
41,Manual de buenas prácticas de participación en reuniones de la Convención Internacional de Protección Fitosanitaria (CIPF),2009,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Plant Health,,,,SP,Annex 3 Manual-CIPF-Esp.pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),Manual de buenas prácticas de participación en reuniones de la Convención Internacional de Protección Fitosanitaria (CIPF),Manual de buenas prácticas de participación en reuniones de la Convención Internacional de Protección Fitosanitaria (CIPF),,,
42,Manual de buenas prácticas de participación en reuniones del Codex Alimentarius,2009,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Food Safety,,,,SP,Annex 3 Manual-Codex-Esp.pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),Manual de buenas prácticas de participación en reuniones del Codex Alimentarius,Manual de buenas prácticas de participación en reuniones del Codex Alimentarius,,,
43,Manual de buenas prácticas de participación en reuniones del Comité MSF de la Organización Mundial del Comercio (OMC),2009,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),SPS-General,,,,SP,Annex 3 Manual-OMC-Esp.pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),Manual de buenas prácticas de participación en reuniones del Comité MSF de la Organización Mundial del Comercio (OMC),Manual de buenas prácticas de participación en reuniones del Comité MSF de la Organización Mundial del Comercio (OMC),,,
44,Manual de auditoría en procesos de notificación de medidas sanitarias y fitosanitarias a la OMC,2010,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),SPS-General,,,,SP,Annex 4 Manual-Auditoria-Esp.pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),Manual de auditoría en procesos de notificación de medidas sanitarias y fitosanitarias a la OMC,Manual de auditoría en procesos de notificación de medidas sanitarias y fitosanitarias a la OMC,,,
45,"Methodology for creating phytosanitary hazard profiles for plants, plant products, and other regulated articles",2010,Velia Arriagada Ríos,Inter-American Institute for Cooperation on Agriculture (IICA),Plant Health,,,,EN,Annex 5 Methodology for Creating Phytosanitary Hazard Profiles.pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),"Methodology for creating phytosanitary hazard profiles for plants, plant products, and other regulated articles","Methodology for creating phytosanitary hazard profiles for plants, plant products, and other regulated articles",,,
46,"Metodología para construir perfiles de peligro fitosanitario de plantas, productos vegetales y otros artículos reglamentados",2009,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Plant Health,,,,SP,Annex 5 Metodología para Construir Perfiles de Peligros Fitosanitarios.pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),"Metodología para construir perfiles de peligro fitosanitario de plantas, productos vegetales y otros artículos reglamentados","Metodología para construir perfiles de peligro fitosanitario de plantas, productos vegetales y otros artículos reglamentados",,,
47,Application of the MCDA in Zambia,2011,Doreen M. Chomba,Government of Zambia,SPS-General,Zambia,Zambia,Zambie,EN,Application of the MCDA in Zambia.pdf,Government of Zambia,Government of Zambia,Application of the MCDA in Zambia,Application of the MCDA in Zambia,Other,Autres,Otro
48,Applying economic analysis to food safety interventions - An overview,2011,Spencer Henson,University of Guelph,Food Safety,,,,EN,Applying economic analysis to food safety interventions - An overview.pdf,University of Guelph,University of Guelph,Applying economic analysis to food safety interventions - An overview,Applying economic analysis to food safety interventions - An overview,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
49,"Approaches to Assessing the Costs, Benefits and Impacts of Standards",2008,Spenser Henson,University of Guelph,SPS-General,,,,EN,"Approaches to Assessing the Costs, Benefits and Impacts of Standards.pdf",University of Guelph,University of Guelph,"Approaches to Assessing the Costs, Benefits and Impacts of Standards","Approaches to Assessing the Costs, Benefits and Impacts of Standards",Newsletter,Newsletter,Newsletter
50,Area-Wide Integrated Pest Management Programmes and Agricultural Trade: Challenges and Opportunities for Regulatory Plant Protection,2007,C. Devorshak,United States Department of Agriculture (USDA),Plant Health,,,,EN,Area-Wide Integrated Pest Management Programmes and Agricultural Trade Challenges and Opportunities.pdf,United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),Area-Wide Integrated Pest Management Programmes and Agricultural Trade: Challenges and Opportunities for Regulatory Plant Protection,Area-Wide Integrated Pest Management Programmes and Agricultural Trade: Challenges and Opportunities for Regulatory Plant Protection,Other,Autres,Otro
51,Assessment of the Status of the Implementation of the SPS Annex to the SADC Protocol on Trade,2010,Dermot Cassidy,United States Agency for International Development (USAID),SPS-General,,,,EN,Assessment of the Implementation of the SADC SPS Annex to the SADC Protocol on Trade.pdf,United States Agency for International Development (USAID),United States Agency for International Development (USAID),Assessment of the Status of the Implementation of the SPS Annex to the SADC Protocol on Trade,Assessment of the Status of the Implementation of the SPS Annex to the SADC Protocol on Trade,Report,Rapport,Reporte
52,Assuring Food Safety and Quality - Guidelines for strengthening  national food control systems,2003,Food and Agriculture Organisation (FAO) and World Health Organization (WHO),Food and Agriculture Organization (FAO),Food Safety,,,,EN,Assuring Food Safety and Quality - Guidelines for strengthening  national food control systems.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Assuring Food Safety and Quality - Guidelines for strengthening  national food control systems,Assuring Food Safety and Quality - Guidelines for strengthening  national food control systems,Paper,Papier,Papel
53,Assuring Food Security in Developing Countries under the Challenges of Climate Change - Key Trade and Development Issues of a Fundamental Transformation of Agriculture,2011,Ulrich Hoffmann,United Nations Conference on Trade and Development (UNCTAD),SPS-General,,,,EN,Assuring Food Security in Developing Countries under the Challenges of Climate Change -.pdf,United Nations Conference on Trade and Development (UNCTAD),United Nations Conference on Trade and Development (UNCTAD),Assuring Food Security in Developing Countries under the Challenges of Climate Change - Key Trade and Development Issues of a Fundamental Transformation of Agriculture,Assuring Food Security in Developing Countries under the Challenges of Climate Change - Key Trade and Development Issues of a Fundamental Transformation of Agriculture,Paper,Papier,Papel
54,"Atelier Régional de validation de ""l'Etude de Dimensionnement des Dommages Infligés à la Production Fruitière d'Afrique de l'Ouest par les Mouches des Fruits et Plan d'Action pour une Réponse Coordonnée au Niveau Regional""",2008,Economic Community of West African States (ECOWAS),Economic Community Of West African States (ECOWAS),Plant Health,,,,FR,Atelier Régional de validation de l'Etude de Dimensionnement des Dommages Infligés.pdf,Communauté Economique Des Etats de l'Afrique de l'Ouest  (CEDEAO),Economic Community Of West African States (ECOWAS),"Atelier Régional de validation de ""l'Etude de Dimensionnement des Dommages Infligés à la Production Fruitière d'Afrique de l'Ouest par les Mouches des Fruits et Plan d'Action pour une Réponse Coordonnée au Niveau Regional""","Atelier Régional de validation de ""l'Etude de Dimensionnement des Dommages Infligés à la Production Fruitière d'Afrique de l'Ouest par les Mouches des Fruits et Plan d'Action pour une Réponse Coordonnée au Niveau Regional""",Other,Autres,Otro
55,Audit Procedures for Notification Of Sanitary And Phytosanitary Measures (IICA),2010,Juan Maximiliano,Inter-American Institute for Cooperation on Agriculture (IICA),SPS-General,,,,EN,Audit Procedures for Notification Of Sanitary And Phytosanitary Measures (IICA).pdf,Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),Audit Procedures for Notification Of Sanitary And Phytosanitary Measures (IICA),Audit Procedures for Notification Of Sanitary And Phytosanitary Measures (IICA),Other,Autres,Otro
